id,name,description,abstraction,type,labels
CWE-1385,Missing Origin Validation in WebSockets,"The software uses a WebSocket, but it does not properly verify that the source of data or communication is valid.",Variant,Weakness,CWE;Weakness
CWE-1386,Insecure Operation on Windows Junction / Mount Point,"The software opens a file or directory, but it does not properly prevent the name from being associated with a junction or mount point to a destination that is outside of the intended control sphere.",Base,Weakness,CWE;Weakness
CWE-1389,Incorrect Parsing of Numbers with Different Radices,"The product parses numeric input assuming base 10 (decimal) values, but it does not account for inputs that use a different base number (radix).",Base,Weakness,CWE;Weakness
CWE-1390,Weak Authentication,"The product uses an authentication mechanism to restrict access to specific users or identities, but the mechanism does not sufficiently prove that the claimed identity is correct.",Class,Weakness,CWE;Weakness
CWE-1391,Use of Weak Credentials,"The product uses weak credentials (such as a default key or hard-coded password) that can be calculated, derived, reused, or guessed by an attacker.",Class,Weakness,CWE;Weakness
CWE-1392,Use of Default Credentials,The product uses default credentials (such as passwords or cryptographic keys) for potentially critical functionality.,Base,Weakness,CWE;Weakness
CWE-1393,Use of Default Password,The product uses default passwords for potentially critical functionality.,Base,Weakness,CWE;Weakness
CWE-1394,Use of Default Cryptographic Key,The product uses a default cryptographic key for potentially critical functionality.,Base,Weakness,CWE;Weakness
CWE-14,Compiler Removal of Code to Clear Buffers,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka 'dead store removal.'",Variant,Weakness,CWE;Weakness
CWE-140,Improper Neutralization of Delimiters,The software does not neutralize or incorrectly neutralizes delimiters.,Base,Weakness,CWE;Weakness
CWE-141,Improper Neutralization of Parameter/Argument Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as parameter or argument delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-142,Improper Neutralization of Value Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as value delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-143,Improper Neutralization of Record Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as record delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-144,Improper Neutralization of Line Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as line delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-145,Improper Neutralization of Section Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-146,Improper Neutralization of Expression/Command Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-147,Improper Neutralization of Input Terminators,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as input terminators when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-148,Improper Neutralization of Input Leaders,"The application does not properly handle when a leading character or sequence ('leader') is missing or malformed, or if multiple leaders are used when only one should be allowed.",Variant,Weakness,CWE;Weakness
CWE-149,Improper Neutralization of Quoting Syntax,"Quotes injected into an application can be used to compromise a system. As data are parsed, an injected/absent/duplicate/malformed use of quotes may cause the process to take unexpected actions.",Variant,Weakness,CWE;Weakness
CWE-15,External Control of System or Configuration Setting,One or more system settings or configuration elements can be externally controlled by a user.,Base,Weakness,CWE;Weakness
CWE-150,"Improper Neutralization of Escape, Meta, or Control Sequences","The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-151,Improper Neutralization of Comment Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as comment delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-152,Improper Neutralization of Macro Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as macro symbols when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-153,Improper Neutralization of Substitution Characters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-154,Improper Neutralization of Variable Name Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as variable name delimiters when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-155,Improper Neutralization of Wildcards or Matching Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as wildcards or matching symbols when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-156,Improper Neutralization of Whitespace,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-157,Failure to Sanitize Paired Delimiters,"The software does not properly handle the characters that are used to mark the beginning and ending of a group of entities, such as parentheses, brackets, and braces.",Variant,Weakness,CWE;Weakness
CWE-158,Improper Neutralization of Null Byte or NUL Character,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-159,Improper Handling of Invalid Use of Special Elements,"The product does not properly filter, remove, quote, or otherwise manage the invalid use of special elements in user-controlled input, which could cause adverse effect on its behavior and integrity.",Class,Weakness,CWE;Weakness
CWE-160,Improper Neutralization of Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-161,Improper Neutralization of Multiple Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-162,Improper Neutralization of Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-163,Improper Neutralization of Multiple Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-164,Improper Neutralization of Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-165,Improper Neutralization of Multiple Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.",Variant,Weakness,CWE;Weakness
CWE-166,Improper Handling of Missing Special Element,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing.",Base,Weakness,CWE;Weakness
CWE-167,Improper Handling of Additional Special Element,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided.",Base,Weakness,CWE;Weakness
CWE-168,Improper Handling of Inconsistent Special Elements,The software does not properly handle input in which an inconsistency exists between two or more special characters or reserved words.,Base,Weakness,CWE;Weakness
CWE-170,Improper Null Termination,The software does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.,Base,Weakness,CWE;Weakness
CWE-172,Encoding Error,"The software does not properly encode or decode the data, resulting in unexpected values.",Class,Weakness,CWE;Weakness
CWE-173,Improper Handling of Alternate Encoding,The software does not properly handle when an input uses an alternate encoding that is valid for the control sphere to which the input is being sent.,Variant,Weakness,CWE;Weakness
CWE-174,Double Decoding of the Same Data,"The software decodes the same input twice, which can limit the effectiveness of any protection mechanism that occurs in between the decoding operations.",Variant,Weakness,CWE;Weakness
CWE-175,Improper Handling of Mixed Encoding,The software does not properly handle when the same input uses several different (mixed) encodings.,Variant,Weakness,CWE;Weakness
CWE-176,Improper Handling of Unicode Encoding,The software does not properly handle when an input contains Unicode encoding.,Variant,Weakness,CWE;Weakness
CWE-177,Improper Handling of URL Encoding (Hex Encoding),The software does not properly handle when all or part of an input has been URL encoded.,Variant,Weakness,CWE;Weakness
CWE-178,Improper Handling of Case Sensitivity,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results.",Base,Weakness,CWE;Weakness
CWE-179,Incorrect Behavior Order: Early Validation,"The software validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification.",Base,Weakness,CWE;Weakness
CWE-180,Incorrect Behavior Order: Validate Before Canonicalize,"The software validates input before it is canonicalized, which prevents the software from detecting data that becomes invalid after the canonicalization step.",Variant,Weakness,CWE;Weakness
CWE-181,Incorrect Behavior Order: Validate Before Filter,"The software validates data before it has been filtered, which prevents the software from detecting data that becomes invalid after the filtering step.",Variant,Weakness,CWE;Weakness
CWE-182,Collapse of Data into Unsafe Value,The software filters data in a way that causes it to be reduced or 'collapsed' into an unsafe value that violates an expected security property.,Base,Weakness,CWE;Weakness
CWE-183,Permissive List of Allowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses.",Base,Weakness,CWE;Weakness
CWE-184,Incomplete List of Disallowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete, leading to resultant weaknesses.",Base,Weakness,CWE;Weakness
CWE-185,Incorrect Regular Expression,The software specifies a regular expression in a way that causes data to be improperly matched or compared.,Class,Weakness,CWE;Weakness
CWE-186,Overly Restrictive Regular Expression,"A regular expression is overly restrictive, which prevents dangerous values from being detected.",Base,Weakness,CWE;Weakness
CWE-187,Partial String Comparison,"The software performs a comparison that only examines a portion of a factor before determining whether there is a match, such as a substring, leading to resultant weaknesses.",Variant,Weakness,CWE;Weakness
CWE-188,Reliance on Data/Memory Layout,"The software makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior.",Base,Weakness,CWE;Weakness
CWE-190,Integer Overflow or Wraparound,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control.",Base,Weakness,CWE;Weakness
CWE-191,Integer Underflow (Wrap or Wraparound),"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",Base,Weakness,CWE;Weakness
CWE-192,Integer Coercion Error,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types.",Variant,Weakness,CWE;Weakness
CWE-193,Off-by-one Error,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",Base,Weakness,CWE;Weakness
CWE-194,Unexpected Sign Extension,"The software performs an operation on a number that causes it to be sign extended when it is transformed into a larger data type. When the original number is negative, this can produce unexpected values that lead to resultant weaknesses.",Variant,Weakness,CWE;Weakness
CWE-195,Signed to Unsigned Conversion Error,"The software uses a signed primitive and performs a cast to an unsigned primitive, which can produce an unexpected value if the value of the signed primitive can not be represented using an unsigned primitive.",Variant,Weakness,CWE;Weakness
CWE-196,Unsigned to Signed Conversion Error,"The software uses an unsigned primitive and performs a cast to a signed primitive, which can produce an unexpected value if the value of the unsigned primitive can not be represented using a signed primitive.",Variant,Weakness,CWE;Weakness
CWE-197,Numeric Truncation Error,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.,Base,Weakness,CWE;Weakness
CWE-198,Use of Incorrect Byte Ordering,"The software receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used.",Base,Weakness,CWE;Weakness
CWE-20,Improper Input Validation,"The product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.",Class,Weakness,CWE;Weakness
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,Class,Weakness,CWE;Weakness
CWE-201,Insertion of Sensitive Information Into Sent Data,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",Base,Weakness,CWE;Weakness
CWE-202,Exposure of Sensitive Information Through Data Queries,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics.",Variant,Weakness,CWE;Weakness
CWE-203,Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.",Base,Weakness,CWE;Weakness
CWE-204,Observable Response Discrepancy,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.,Base,Weakness,CWE;Weakness
CWE-205,Observable Behavioral Discrepancy,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality.",Base,Weakness,CWE;Weakness
CWE-206,Observable Internal Behavioral Discrepancy,"The product performs multiple behaviors that are combined to produce a single result, but the individual behaviors are observable separately in a way that allows attackers to reveal internal state or internal decision points.",Variant,Weakness,CWE;Weakness
CWE-207,Observable Behavioral Discrepancy With Equivalent Products,"The product operates in an environment in which its existence or specific identity should not be known, but it behaves differently than other products with equivalent functionality, in a way that is observable to an attacker.",Variant,Weakness,CWE;Weakness
CWE-208,Observable Timing Discrepancy,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not.",Base,Weakness,CWE;Weakness
CWE-209,Generation of Error Message Containing Sensitive Information,"The software generates an error message that includes sensitive information about its environment, users, or associated data.",Base,Weakness,CWE;Weakness
CWE-210,Self-generated Error Message Containing Sensitive Information,The software identifies an error condition and creates its own diagnostic or error messages that contain sensitive information.,Base,Weakness,CWE;Weakness
CWE-211,Externally-Generated Error Message Containing Sensitive Information,"The application performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the application, such as an error generated by the programming language interpreter that the software uses. The error can contain sensitive system information.",Base,Weakness,CWE;Weakness
CWE-212,Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors.",Base,Weakness,CWE;Weakness
CWE-213,Exposure of Sensitive Information Due to Incompatible Policies,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.",Base,Weakness,CWE;Weakness
CWE-214,Invocation of Process Using Visible Sensitive Information,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.",Base,Weakness,CWE;Weakness
CWE-215,Insertion of Sensitive Information Into Debugging Code,"The application inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production.",Base,Weakness,CWE;Weakness
CWE-216,DEPRECATED: Containment Errors (Container Errors),"This entry has been deprecated, as it was not effective as a weakness and was structured more like a category. In addition, the name is inappropriate, since the 'container' term is widely understood by developers in different ways than originally intended by PLOVER, the original source for this entry.",Class,Weakness,CWE;Weakness
CWE-217,DEPRECATED: Failure to Protect Stored Data from Modification,This entry has been deprecated because it incorporated and confused multiple weaknesses. The issues formerly covered in this entry can be found at CWE-766 and CWE-767.,Base,Weakness,CWE;Weakness
CWE-218,DEPRECATED: Failure to provide confidentiality for stored data,This weakness has been deprecated because it was a duplicate of CWE-493. All content has been transferred to CWE-493.,Base,Weakness,CWE;Weakness
CWE-219,Storage of File with Sensitive Data Under Web Root,"The application stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.",Variant,Weakness,CWE;Weakness
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",Base,Weakness,CWE;Weakness
CWE-220,Storage of File With Sensitive Data Under FTP Root,"The application stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties.",Variant,Weakness,CWE;Weakness
CWE-221,Information Loss or Omission,"The software does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis.",Class,Weakness,CWE;Weakness
CWE-222,Truncation of Security-relevant Information,"The application truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack.",Base,Weakness,CWE;Weakness
CWE-223,Omission of Security-relevant Information,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.",Base,Weakness,CWE;Weakness
CWE-224,Obscured Security-relevant Information by Alternate Name,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name.",Base,Weakness,CWE;Weakness
CWE-225,DEPRECATED: General Information Management Problems,This weakness can be found at CWE-199.,Base,Weakness,CWE;Weakness
CWE-226,Sensitive Information in Resource Not Removed Before Reuse,"The product releases a resource such as memory or a file so that it can be made available for reuse, but it does not clear or 'zeroize' the information contained in the resource before the product performs a critical state transition or makes the resource available for reuse by other entities.",Base,Weakness,CWE;Weakness
CWE-228,Improper Handling of Syntactically Invalid Structure,The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification.,Class,Weakness,CWE;Weakness
CWE-229,Improper Handling of Values,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined.",Base,Weakness,CWE;Weakness
CWE-23,Relative Path Traversal,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as '..' that can resolve to a location that is outside of that directory.",Base,Weakness,CWE;Weakness
CWE-230,Improper Handling of Missing Values,"The software does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null.",Variant,Weakness,CWE;Weakness
CWE-231,Improper Handling of Extra Values,The software does not handle or incorrectly handles when more values are provided than expected.,Variant,Weakness,CWE;Weakness
CWE-232,Improper Handling of Undefined Values,"The software does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name.",Variant,Weakness,CWE;Weakness
CWE-233,Improper Handling of Parameters,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined.",Base,Weakness,CWE;Weakness
CWE-234,Failure to Handle Missing Parameter,"If too few arguments are sent to a function, the function will still pop the expected number of arguments from the stack. Potentially, a variable number of arguments could be exhausted in a function as well.",Variant,Weakness,CWE;Weakness
CWE-235,Improper Handling of Extra Parameters,"The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount.",Variant,Weakness,CWE;Weakness
CWE-236,Improper Handling of Undefined Parameters,"The software does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product.",Variant,Weakness,CWE;Weakness
CWE-237,Improper Handling of Structural Elements,The software does not handle or incorrectly handles inputs that are related to complex structures.,Base,Weakness,CWE;Weakness
CWE-238,Improper Handling of Incomplete Structural Elements,The software does not handle or incorrectly handles when a particular structural element is not completely specified.,Variant,Weakness,CWE;Weakness
CWE-239,Failure to Handle Incomplete Element,The software does not properly handle when a particular element is not completely specified.,Variant,Weakness,CWE;Weakness
CWE-24,Path Traversal: '../filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '../' sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-240,Improper Handling of Inconsistent Structural Elements,"The software does not handle or incorrectly handles when two or more structural elements should be consistent, but are not.",Base,Weakness,CWE;Weakness
CWE-241,Improper Handling of Unexpected Data Type,"The software does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z).",Base,Weakness,CWE;Weakness
CWE-242,Use of Inherently Dangerous Function,The program calls a function that can never be guaranteed to work safely.,Base,Weakness,CWE;Weakness
CWE-243,Creation of chroot Jail Without Changing Working Directory,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail.",Variant,Weakness,CWE;Weakness
CWE-244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory.",Variant,Weakness,CWE;Weakness
CWE-245,J2EE Bad Practices: Direct Management of Connections,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",Variant,Weakness,CWE;Weakness
CWE-246,J2EE Bad Practices: Direct Use of Sockets,The J2EE application directly uses sockets instead of using framework method calls.,Variant,Weakness,CWE;Weakness
CWE-247,DEPRECATED: Reliance on DNS Lookups in a Security Decision,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350.,Base,Weakness,CWE;Weakness
CWE-248,Uncaught Exception,"An exception is thrown from a function, but it is not caught.",Base,Weakness,CWE;Weakness
CWE-249,DEPRECATED: Often Misused: Path Manipulation,"This entry has been deprecated because of name
	confusion and an accidental combination of multiple
	weaknesses. Most of its content has been transferred to
	CWE-785.",Variant,Weakness,CWE;Weakness
CWE-25,Path Traversal: '/../filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '/../' sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-250,Execution with Unnecessary Privileges,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.",Base,Weakness,CWE;Weakness
CWE-252,Unchecked Return Value,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.",Base,Weakness,CWE;Weakness
CWE-253,Incorrect Check of Function Return Value,"The software incorrectly checks a return value from a function, which prevents the software from detecting errors or exceptional conditions.",Base,Weakness,CWE;Weakness
CWE-256,Plaintext Storage of a Password,Storing a password in plaintext may result in a system compromise.,Base,Weakness,CWE;Weakness
CWE-257,Storing Passwords in a Recoverable Format,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts.",Base,Weakness,CWE;Weakness
CWE-258,Empty Password in Configuration File,Using an empty string as a password is insecure.,Variant,Weakness,CWE;Weakness
CWE-259,Use of Hard-coded Password,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",Variant,Weakness,CWE;Weakness
CWE-26,Path Traversal: '/dir/../filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '/dir/../filename' sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-260,Password in Configuration File,The software stores a password in a configuration file that might be accessible to actors who do not know the password.,Base,Weakness,CWE;Weakness
CWE-261,Weak Encoding for Password,Obscuring a password with a trivial encoding does not protect the password.,Base,Weakness,CWE;Weakness
CWE-262,Not Using Password Aging,The product does not have a mechanism in place for managing password aging.,Base,Weakness,CWE;Weakness
CWE-263,Password Aging with Long Expiration,"The product supports password aging, but the expiration period is too long.",Base,Weakness,CWE;Weakness
CWE-266,Incorrect Privilege Assignment,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.",Base,Weakness,CWE;Weakness
CWE-267,Privilege Defined With Unsafe Actions,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.",Base,Weakness,CWE;Weakness
CWE-268,Privilege Chaining,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",Base,Weakness,CWE;Weakness
CWE-269,Improper Privilege Management,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",Class,Weakness,CWE;Weakness
CWE-27,Path Traversal: 'dir/../../filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal '../' sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-270,Privilege Context Switching Error,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control.,Base,Weakness,CWE;Weakness
CWE-271,Privilege Dropping / Lowering Errors,The software does not drop privileges before passing control of a resource to an actor that does not have those privileges.,Class,Weakness,CWE;Weakness
CWE-272,Least Privilege Violation,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed.,Base,Weakness,CWE;Weakness
CWE-273,Improper Check for Dropped Privileges,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,Base,Weakness,CWE;Weakness
CWE-274,Improper Handling of Insufficient Privileges,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.",Base,Weakness,CWE;Weakness
CWE-276,Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files.",Base,Weakness,CWE;Weakness
CWE-277,Insecure Inherited Permissions,A product defines a set of insecure permissions that are inherited by objects that are created by the program.,Variant,Weakness,CWE;Weakness
CWE-278,Insecure Preserved Inherited Permissions,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement.",Variant,Weakness,CWE;Weakness
CWE-279,Incorrect Execution-Assigned Permissions,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user.",Variant,Weakness,CWE;Weakness
CWE-28,Path Traversal: '..\filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '..\' sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-280,Improper Handling of Insufficient Permissions or Privileges ,The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the application in an invalid state.,Base,Weakness,CWE;Weakness
CWE-281,Improper Preservation of Permissions,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.",Base,Weakness,CWE;Weakness
CWE-282,Improper Ownership Management,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.",Class,Weakness,CWE;Weakness
CWE-283,Unverified Ownership,The software does not properly verify that a critical resource is owned by the proper entity.,Base,Weakness,CWE;Weakness
CWE-284,Improper Access Control,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor.,Pillar,Weakness,CWE;Weakness
CWE-285,Improper Authorization,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.,Class,Weakness,CWE;Weakness
CWE-286,Incorrect User Management,The software does not properly manage a user within its environment.,Class,Weakness,CWE;Weakness
CWE-287,Improper Authentication,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct.",Class,Weakness,CWE;Weakness
CWE-288,Authentication Bypass Using an Alternate Path or Channel,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.",Base,Weakness,CWE;Weakness
CWE-289,Authentication Bypass by Alternate Name,"The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.",Variant,Weakness,CWE;Weakness
CWE-29,Path Traversal: '\..\filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.",Variant,Weakness,CWE;Weakness
CWE-290,Authentication Bypass by Spoofing,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks.,Base,Weakness,CWE;Weakness
CWE-291,Reliance on IP Address for Authentication,The software uses an IP address for authentication.,Variant,Weakness,CWE;Weakness
CWE-292,DEPRECATED: Trusting Self-reported DNS Name,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350.,Variant,Weakness,CWE;Weakness
CWE-293,Using Referer Field for Authentication,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.",Variant,Weakness,CWE;Weakness
